year,sex,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1998,M,31776,5037,40072,18776,266658,30481,22461,5407,100350,62167,8998,9971,93349,43356,19081,19714,27644,34129,7000,36672,41730,68660,33194,21846,38560,5532,12089,14600,7426,58948,13825,132493,57090,4032,77871,25434,23192,74930,6466,27547,5345,39725,174861,23004,3321,48382,40870,10620,34338,3247
1999,F,30582,4798,39626,17989,253408,30394,21139,5213,96275,61782,8213,9757,88925,41939,18185,18663,26544,32784,6579,35228,39461,65308,31928,20933,36829,5190,11593,14279,6881,55727,13331,124618,55542,3696,74833,23986,21955,70849,6096,26917,5124,37903,170778,22371,3201,46496,38759,10138,33177,2942
1999,M,31540,5152,41519,18740,265100,31773,22171,5463,100748,64935,8825,10115,93143,44092,19373,20119,27859,34352,7037,36739,41478,68299,34042,21751,38603,5595,12314,15083,7160,58378,13860,130994,58253,3943,77751,25024,23249,74498,6270,28031,5400,39900,178467,23919,3366,48973,40827,10590,35031,3187
2000,F,30969,4820,41680,18459,259550,31957,20906,5321,99963,65107,8412,9966,90733,42591,18777,19284,27145,33426,6626,36400,39852,66608,32993,21500,37378,5375,12032,14853,6974,56404,13334,126022,58991,3682,75822,24144,22288,71603,5971,27389,5018,38879,177795,22983,3141,48444,39456,10111,33872,3106
2000,M,32330,5154,43593,19324,272409,33481,22120,5730,104162,67537,9139,10400,94303,45108,19489,20382,28884,34472,6977,37916,41762,69563,34611,22575,39085,5582,12614,15976,7635,59228,13889,132715,61320,3994,79650,25638,23516,74678,6534,28725,5327,40732,185619,24370,3359,50494,41580,10754,35454,3147
2001,F,29539,4861,42053,18041,258298,32679,20808,5272,100498,65671,8412,10237,89907,42129,18394,18974,26720,31743,6626,35896,39892,64656,32990,20763,37017,5388,12252,15343,7263,56427,13320,124000,57983,3818,74013,24499,22148,70094,6225,27193,5238,38006,178482,23300,3143,48234,38930,9967,33983,2932
2001,M,30915,5142,43544,18969,269461,34328,21840,5477,105295,67855,8660,10451,94157,44330,19225,19895,27938,33609,7133,37322,41185,68771,34572,21519,38447,5582,12568,16039,7393,59368,13808,130026,60202,3811,77557,25619,23174,73401,6488,28563,5245,40334,186928,24659,3223,50650,40640,10461,35089,3183
2002,F,28998,4890,42737,18259,258922,33223,20423,5397,100227,65272,8289,10277,88154,41712,18197,19313,26335,31629,6640,35724,39411,63491,33181,20243,36531,5428,12416,15880,6952,55781,13790,122659,57294,3711,72481,24480,22097,69716,6276,26725,5187,38078,182249,24017,3108,48950,38557,10021,33541,3175
2002,M,29969,5048,45100,19178,270435,35195,21578,5693,105352,68028,9188,10693,92468,43369,19362,20099,27898,33243,6919,37599,41234,66476,34844,21275,38720,5621,12967,16691,7490,58970,13963,128756,60041,4046,76239,25907,23095,73134,6618,27845,5511,39404,190201,25165,3279,50722,40471,10691,35019,3375
2003,F,29056,4887,44567,18345,263958,33771,20879,5543,103266,66642,8631,10625,88951,42048,18625,19338,27060,31787,6688,36375,39106,63872,34195,20708,37560,5600,12598,16419,7107,57211,13733,123618,57467,3976,72844,24764,22457,71450,6441,27340,5460,38640,184864,24436,3140,49511,39466,10161,34308,3213
2003,M,30496,5199,46400,19439,277039,35568,21994,5786,108984,69337,9469,11175,93544,44386,19549,20138,28176,33253,7167,38555,41078,67222,35855,21672,39485,5822,13319,17228,7286,59772,14088,130096,60856,3996,76835,26217,23496,74509,6768,28309,5567,40250,192612,25424,3449,51743,41023,10774,35732,3487
2004,F,28881,5061,45734,18925,266452,33408,20561,5569,106300,68005,8921,10931,88210,42291,18723,19303,27238,31954,6643,36652,38254,63230,34637,20971,37830,5635,12812,17130,7167,56433,13833,122062,58738,3982,72385,25035,22303,70652,6201,27561,5516,38934,186359,24756,3163,50795,39630,10133,34162,3391
2004,M,30629,5277,47929,19648,278391,35095,21534,5800,111753,70844,9360,11601,92568,44851,19715,20366,28482,33415,7301,37976,40230,66546,35987,21856,39935,5884,13520,18070,7398,58820,14551,127885,61109,4207,76569,26271,23375,74096,6578,29029,5822,40708,194934,25914,3436,53138,42117,10747,35984,3416
2005,F,29613,5027,46943,19297,268215,33492,20487,5742,110728,69400,8647,11313,87112,42451,19206,19648,27462,29780,6876,36816,37605,62205,34581,20722,38497,5659,12795,18143,7010,55448,14195,120029,60227,4002,72667,25196,22327,70352,6219,28188,5544,39939,188210,25078,3072,50761,40334,10062,34597,3478
2005,M,30840,5432,49256,19911,280667,35452,21231,5901,115512,72800,9277,11749,91908,44742,20105,20240,28982,31157,7236,38164,39260,65501,36338,21673,40121,5924,13350,19125,7410,58328,14640,126322,62869,4388,75721,26605,23595,75031,6478,29523,5918,41808,197705,26478,3223,53794,42369,10774,36387,3761
2006,F,30609,5377,50011,19971,274184,34560,20384,5964,115817,72671,9121,11787,88665,43375,19659,20020,28454,30808,6841,37628,38002,62391,36046,22366,39796,6064,12986,19579,7048,56001,14601,121952,62318,4176,73361,26432,23666,72656,6020,30347,5841,41231,195419,25802,3172,52521,42325,10236,35263,3659
2006,M,32623,5619,52418,20990,288256,36191,21436,6025,120985,75962,9861,12397,91907,45256,20948,20948,29796,32568,7310,39866,39674,65092,37479,23690,41589,6444,13741,20448,7330,59019,15335,128152,65541,4445,77232,27584,25023,76434,6352,31824,6078,43124,204184,27702,3339,55296,44551,10695,37077,4013
2007,F,31942,5373,50300,20185,276403,34515,20388,5990,116642,73854,9276,12128,88555,43843,19950,20558,29053,32585,6897,38215,37924,60942,36235,22669,40112,6073,13065,20122,6901,56974,14891,124013,63804,4283,73759,26947,24075,73484,5988,30838,5951,42331,199308,26761,3214,53173,43241,10705,35524,3880
2007,M,32862,5679,52681,21193,290011,36294,21272,6180,122523,77283,9858,12891,92281,46021,20936,21446,30315,33716,7223,39880,40043,64319,37500,23822,41818,6366,13869,21059,7267,59089,15725,129438,67233,4557,77120,28118,25303,77229,6388,32037,6310,44380,208317,28369,3299,55711,45737,11289,37260,4013
2008,F,31672,5518,48672,19870,269041,33958,19619,5917,112627,71562,9397,12382,86805,43390,19615,20442,28700,31888,6643,37744,37556,59147,35373,22102,39543,6132,13232,19300,6662,55055,14830,121816,63765,4365,73023,26857,23951,72690,5857,30940,5857,42002,197894,27107,3089,52391,44210,10358,35300,3953
2008,M,32874,5924,50770,20799,282738,36073,20780,6173,118818,75041,10087,12767,89990,45352,20609,21391,29675,33380,6966,39545,39466,61980,37048,22845,41420,6462,13757,20206,7021,57655,15343,128567,67074,4573,75798,27924,25145,76583,6191,32131,6214,43558,207660,28527,3250,54295,46111,11143,36961,4085
2009,F,30725,5359,45362,19309,257071,33448,19061,5659,108243,69028,9215,11548,83410,42469,19422,20289,27938,31828,6538,36866,36461,57133,34322,20975,38178,6009,13103,18289,6524,53700,14221,120877,61838,4418,70760,26559,22921,71667,5603,30055,5862,40184,196917,26329,2918,51307,43577,10452,34656,3785
2009,M,31750,5965,47436,20499,269949,35180,19835,5900,113151,72349,9672,12189,87753,44204,20279,21107,29613,33145,6932,38193,38555,60161,36324,21926,40727,6248,13833,19323,6853,56631,14779,127233,65007,4583,74081,27994,24211,74767,5839,30565,6072,42027,205060,27558,3192,53752,45736,10816,36187,4096
2010,F,29227,5616,42936,18816,248983,32270,18485,5564,104794,65438,9071,11319,80298,40829,19066,19887,27038,30565,6328,36203,35559,55967,33540,19643,37278,5933,12703,17661,6285,52354,13614,119023,59842,4465,67624,26152,22215,69889,5411,28682,5782,38519,189039,25374,2956,50137,42266,10173,33411,3758
2010,M,30823,5855,44541,19724,261215,34085,19223,5800,109796,68509,9917,11879,84902,43111,19653,20762,28746,31814,6642,37598,37306,58564,35070,20393,39481,6127,13215,18273,6589,54568,14236,125352,62508,4639,71504,27086,23325,73432,5766,29660,6029,40976,197079,26884,3267,52865,44273,10297,35076,3798
2011,F,28897,5578,41739,18929,244892,31625,18178,5522,104057,64897,9204,10809,78838,40809,18685,19257,27072,30250,6168,35701,35657,55368,33369,19641,37018,5960,12635,17076,6253,51552,13584,118153,58874,4639,67117,25550,21947,69778,5342,27966,5813,39077,184597,24932,2956,50062,42344,9965,33111,3590
2011,M,30457,5878,43804,19786,257228,33430,19103,5735,109357,67512,9752,11496,82474,42892,19529,20385,28298,31638,6536,37392,37509,58640,35040,20219,39099,6109,13085,18220,6598,54331,13705,123159,61515,4888,70801,26722,23208,73400,5618,29427,6033,40511,192848,26291,3122,52590,44632,10752,34699,3809
2012,F,28772,5477,42166,18674,246316,31646,17920,5430,104034,64172,9300,11295,77887,40618,18871,19726,27129,30458,6210,35817,35366,55162,33588,19092,36788,5924,12639,16891,6070,51138,13214,117491,58665,4923,67469,25828,21941,69661,5385,28107,5847,39088,187054,24957,2893,50295,42745,10302,32782,3607
2012,M,29676,5710,44275,19673,257439,33541,18619,5593,109114,66108,9680,11668,81273,42609,19831,20615,28629,32184,6588,37066,37073,57929,35184,19577,38658,6194,13303,18020,6282,53092,13854,123425,61166,5183,71014,26923,23126,72853,5541,29048,6257,41283,195673,26508,3116,52718,44718,10525,34513,3965
2013,F,28535,5590,41633,18452,241210,31875,17625,5293,105098,62990,9088,11033,76613,40499,19210,19013,26882,30963,6143,35027,35193,55516,33735,19112,36902,6021,12715,17046,6030,50117,12865,115703,58432,5258,68161,25697,22111,68858,5275,27543,6059,38982,189105,24694,2832,49711,41787,10218,32564,3698
2013,M,29632,5856,43967,19380,253495,33132,18460,5538,110309,65758,9899,11350,80318,42603,19884,19826,28804,32238,6633,36926,36595,57973,35424,19522,38394,6356,13380,17984,6366,52458,13489,121277,60570,5341,70775,27672,23044,72063,5534,29252,6189,41010,198235,26263,3143,52436,44790,10607,34085,3946
2014,F,29136,5507,42349,18764,245166,32271,17635,5380,107208,64249,8944,11130,77454,40876,19210,19227,27328,31597,6203,36111,35004,55571,34379,19089,36642,6112,12933,17482,6020,50614,12784,117199,59148,5630,68151,26123,22290,69393,5291,28254,5971,39992,195118,24859,2953,50534,43191,9941,32595,3662
2014,M,30286,5885,44538,19747,257713,33559,18650,5592,112783,66697,9606,11746,81102,43204,20477,19996,28842,32900,6495,37810,36904,58804,35525,19647,38718,6320,13861,18379,6282,52691,13268,121574,61827,5729,71316,27216,23266,72875,5532,29373,6312,41610,204648,26295,3177,52766,45394,10360,34566,4034
2015,F,29306,5493,41600,18939,239565,32548,17541,5600,109167,64383,9061,11328,77080,40817,19223,19173,27347,31820,6077,36035,34770,55563,33907,18781,36669,6194,12945,17699,6145,50651,12647,115418,59025,5508,67978,25841,22203,68965,5389,28544,5892,39950,197552,24709,2839,50378,43142,9707,32828,3714
2015,M,30351,5789,43751,19947,252183,34033,18205,5566,115102,67021,9359,11499,81036,43223,20259,19981,28624,32872,6530,37581,36722,57749,35927,19613,38392,6389,13734,18599,6288,52476,13169,121856,61818,5806,71286,27281,23452,72082,5604,29595,6444,41735,206066,26069,3064,52925,45848,10098,34213,4051
2016,F,28860,5444,41514,18499,238408,32587,17838,5358,109853,63962,8564,10999,75509,40255,19398,18470,26998,31066,6183,35754,34907,55310,34119,18685,36418,5978,13079,17778,5855,50081,12096,114466,58748,5538,67449,25753,22153,67849,5281,28044,5981,39377,194708,24694,2800,50401,44278,9419,32594,3597
2016,M,30291,5765,43006,19775,250419,34026,18177,5634,115169,66080,9495,11483,78936,42836,20005,19583,28451,32112,6522,37382,36410,58005,35630,19243,38287,6304,13510,18482,6412,52566,12596,119817,62031,5845,70636,26839,23382,71560,5517,29298,6294,41430,203339,25770,2956,52059,46227,9660,34021,3789
2017,F,28874,5098,40273,18393,229760,31639,17159,5290,109393,63213,8379,10858,73096,40323,18795,17627,26540,29879,6075,35204,34603,54547,33531,18263,35560,5765,12615,17479,5966,49170,11586,112014,58634,5177,66857,24323,21181,67055,5268,27719,6016,39349,187092,23449,2784,49020,42727,9102,31780,3409
2017,M,30067,5347,41599,19127,241898,32743,18062,5565,114237,66030,9138,11323,76294,41847,19635,18892,28212,31139,6223,36437,36099,56879,35064,19094,37474,6034,13206,18277,6150,52080,12181,117723,61491,5560,69975,25891,22450,70690,5370,29310,6118,41667,194958,25136,2871,51371,44835,9573,33195,3494
2018,F,27993,4878,39389,18188,222531,30863,16927,5159,108088,61712,8246,10435,70695,39911,18484,17674,26254,29197,6063,34782,33810,53718,33060,18184,35966,5609,12433,17370,5978,49532,11385,110639,58387,5121,66201,24287,20615,65899,5214,27591,5885,39655,185303,23000,2666,48629,42233,8815,31218,3186
2018,M,29768,5208,41334,18830,232389,32022,17798,5462,113454,64460,8726,10968,74120,41735,19301,18587,27668,30418,6248,36298,35299,56314,34284,18816,37303,5904,13055,18312,6017,51691,11654,115599,60567,5515,68933,25513,21573,69774,5292,29078,6008,41096,193321,24209,2766,51214,43852,9433,32880,3376
2019,F,28420,4703,38699,17805,217276,30660,16802,5124,107453,62057,8019,10794,68340,39351,18404,17354,25952,28720,5852,34212,33868,53066,32330,17889,35072,5465,12127,16952,5759,48333,11202,108474,58120,5040,65853,23907,20389,65740,4992,27882,5573,39451,184612,22886,2607,47554,41545,8832,30928,3183
2019,M,30195,5119,40676,18759,229203,32209,17456,5438,112549,64314,8778,11269,71788,41508,19245,18041,27117,30221,5927,35966,35249,54820,33697,18747,37055,5614,12628,18120,6080,51252,11758,113065,60605,5414,68608,25236,21469,68490,5183,29156,5876,40999,192987,23940,2754,49875,43350,9304,32342,3382
2020,F,28269,4665,37774,17211,205481,29978,16365,5037,102292,59813,7669,10413,65115,38334,17692,16813,25373,28024,5697,33734,32699,50856,30782,17455,33622,5240,11939,16403,5768,47826,10560,102072,57058,4991,62774,23274,19436,64059,5010,27323,5376,38670,179717,22036,2523,46123,40710,8532,29641,3039
2020,M,29378,4804,39173,18040,214778,31516,17095,5355,107379,62660,8116,11120,68183,40282,18422,17563,26295,29304,5842,34820,33729,53218,32661,18018,35663,5551,12352,17250,6023,50128,11343,107266,59672,5068,66417,24349,20384,66634,5091,28381,5584,40019,188473,23666,2610,48626,42376,8791,30953,3089
